Audit_ID,Department,Audit_Finding,Risk_Level,Audit_Date
45,Finance,Fraudulent Activity,High,2022-08-24
46,Finance,Non-compliance,Medium,2022-12-24
47,IT,Non-compliance,Low,2022-07-24
48,IT,Non-compliance,Medium,2022-10-29
49,Marketing,Fraudulent Activity,High,2022-07-06
50,HR,Control Weakness,High,2022-12-27
51,IT,Non-compliance,Low,2022-03-05
52,HR,Non-compliance,Low,2022-09-20
53,Marketing,Fraudulent Activity,High,2022-03-01
54,Operations,Control Weakness,Low,2022-05-12
55,IT,Control Weakness,Low,2022-02-14
56,Marketing,Non-compliance,Medium,2022-08-17
57,HR,Control Weakness,Medium,2022-12-05
58,Operations,Non-compliance,Low,2022-07-10
59,IT,Non-compliance,Medium,2022-08-05
60,IT,Control Weakness,Medium,2022-05-06
61,IT,Control Weakness,Medium,2022-01-27
62,Operations,Control Weakness,Low,2022-05-31
63,Operations,Fraudulent Activity,Medium,2022-09-11
64,Marketing,Control Weakness,High,2022-01-24
65,Operations,Fraudulent Activity,High,2022-04-22
66,Marketing,Fraudulent Activity,Low,2022-08-08
67,HR,Control Weakness,Low,2022-01-07
68,IT,Non-compliance,High,2022-04-25
69,Operations,Fraudulent Activity,Medium,2022-10-23
70,IT,Non-compliance,Low,2022-10-23
71,HR,Control Weakness,High,2022-03-13
72,HR,Control Weakness,Low,2022-10-06
73,Operations,Fraudulent Activity,Low,2022-10-26
74,IT,Control Weakness,High,2022-07-07
75,HR,Control Weakness,Low,2022-02-09
76,Marketing,Fraudulent Activity,Low,2022-03-26
77,IT,Non-compliance,Medium,2022-03-11
78,Operations,Control Weakness,High,2022-02-23
79,IT,Control Weakness,High,2022-03-25
80,HR,Fraudulent Activity,Low,2022-03-01
81,IT,Fraudulent Activity,Medium,2022-06-03
82,Operations,Control Weakness,High,2022-04-20
83,Operations,Non-compliance,Medium,2022-02-26
84,HR,Fraudulent Activity,High,2022-07-01
85,Operations,Control Weakness,Medium,2022-05-22
86,HR,Fraudulent Activity,High,2022-07-23
87,Operations,Control Weakness,Low,2022-01-18
88,HR,Non-compliance,High,2022-04-14
89,Operations,Non-compliance,Low,2022-01-07
90,HR,Non-compliance,Low,2022-09-14
91,Operations,Non-compliance,Medium,2022-08-23
92,Operations,Control Weakness,High,2022-06-20
93,Marketing,Non-compliance,High,2022-01-03
94,Marketing,Fraudulent Activity,High,2022-05-09
95,IT,Non-compliance,Medium,2022-08-12
96,IT,Control Weakness,Medium,2022-06-07
97,Finance,Non-compliance,Low,2022-07-13
98,HR,Non-compliance,Low,2022-05-19
99,Operations,Control Weakness,Medium,2022-02-12
100,Marketing,Control Weakness,Medium,2022-05-19
101,Operations,Non-compliance,Low,2022-09-19
102,IT,Fraudulent Activity,Medium,2022-12-11
103,IT,Control Weakness,Low,2022-10-30
104,IT,Fraudulent Activity,Low,2022-06-28
105,HR,Fraudulent Activity,Low,2022-04-16
106,Finance,Fraudulent Activity,Low,2022-04-06
107,Marketing,Non-compliance,Low,2022-11-24
108,Marketing,Non-compliance,Medium,2022-01-04
109,HR,Fraudulent Activity,High,2022-09-30
110,Marketing,Fraudulent Activity,High,2022-06-23
111,Finance,Non-compliance,Low,2022-03-25
112,Finance,Non-compliance,Low,2022-03-14
113,Marketing,Control Weakness,Low,2022-08-11
114,Operations,Control Weakness,Medium,2022-07-22
115,Operations,Non-compliance,Medium,2022-11-28
116,IT,Non-compliance,High,2022-07-08
117,IT,Control Weakness,High,2022-04-29
118,Operations,Non-compliance,Medium,2022-09-05
119,HR,Non-compliance,Low,2022-06-25
120,Operations,Fraudulent Activity,Low,2022-05-11
121,Finance,Fraudulent Activity,Medium,2022-02-05
122,Operations,Fraudulent Activity,Low,2022-12-26
123,IT,Fraudulent Activity,High,2022-10-18
124,Finance,Non-compliance,High,2022-01-02
125,Finance,Non-compliance,High,2022-06-26
126,HR,Fraudulent Activity,Medium,2022-11-17
127,Operations,Fraudulent Activity,High,2022-06-02
128,Finance,Fraudulent Activity,Low,2022-06-18
129,Finance,Non-compliance,Low,2022-10-15
130,Finance,Non-compliance,Medium,2022-05-25
131,Finance,Fraudulent Activity,Low,2022-12-20
132,Operations,Non-compliance,Medium,2022-03-23
133,Finance,Control Weakness,Low,2022-06-17
134,Operations,Fraudulent Activity,Medium,2022-05-07
135,Finance,Non-compliance,High,2022-01-02
136,HR,Control Weakness,Low,2022-03-24
137,HR,Control Weakness,High,2022-05-23
138,HR,Control Weakness,Low,2022-09-13
139,Operations,Non-compliance,High,2022-09-08
140,Operations,Control Weakness,Medium,2022-08-08
141,Marketing,Non-compliance,Low,2022-12-29
142,HR,Non-compliance,High,2022-03-06
143,Operations,Control Weakness,Low,2022-07-03
144,Marketing,Control Weakness,Medium,2022-05-22
145,Finance,Fraudulent Activity,Low,2022-03-08
146,HR,Non-compliance,Medium,2022-03-19
147,HR,Non-compliance,Medium,2022-07-20
148,IT,Non-compliance,Low,2022-01-28
149,HR,Fraudulent Activity,High,2022-11-07
150,Operations,Non-compliance,Low,2022-12-17
151,Finance,Non-compliance,High,2022-10-01
152,Marketing,Non-compliance,Low,2022-03-29
153,HR,Non-compliance,Low,2022-05-09
154,Finance,Control Weakness,Medium,2022-01-14
155,Finance,Non-compliance,Low,2022-10-18
156,Operations,Non-compliance,High,2022-12-16
157,IT,Control Weakness,Low,2022-08-02
158,Finance,Control Weakness,High,2022-03-03
159,Operations,Fraudulent Activity,Low,2022-08-21
160,IT,Fraudulent Activity,Medium,2022-09-26
161,HR,Control Weakness,Low,2022-04-03
162,Operations,Control Weakness,High,2022-12-13
163,IT,Non-compliance,Low,2022-04-15
164,HR,Fraudulent Activity,Medium,2022-03-28
165,HR,Fraudulent Activity,High,2022-01-30
166,Operations,Fraudulent Activity,Low,2022-12-26
167,IT,Fraudulent Activity,Low,2022-08-02
168,IT,Fraudulent Activity,High,2022-03-19
169,Marketing,Fraudulent Activity,Medium,2022-10-07
170,IT,Fraudulent Activity,High,2022-03-27
171,Marketing,Fraudulent Activity,High,2022-09-23
172,Marketing,Control Weakness,Medium,2022-12-16
173,IT,Non-compliance,Low,2022-10-23
174,Operations,Non-compliance,High,2022-06-23
175,HR,Non-compliance,Medium,2022-02-28
176,Finance,Non-compliance,Medium,2022-03-24
177,Operations,Control Weakness,Medium,2022-05-13
178,HR,Fraudulent Activity,Low,2022-02-17
179,HR,Control Weakness,Medium,2022-09-26
180,IT,Fraudulent Activity,High,2022-11-12
181,HR,Non-compliance,Medium,2022-10-15
182,HR,Control Weakness,Medium,2022-02-27
183,IT,Fraudulent Activity,High,2022-04-21
184,Finance,Control Weakness,Medium,2022-01-17
185,Operations,Control Weakness,High,2022-05-26
186,IT,Non-compliance,High,2022-09-22
187,IT,Fraudulent Activity,Medium,2022-06-12
188,Marketing,Control Weakness,Low,2022-08-31
189,Marketing,Control Weakness,High,2022-06-27
190,HR,Fraudulent Activity,High,2022-11-01
191,IT,Fraudulent Activity,Medium,2022-01-04
192,Finance,Non-compliance,Low,2022-11-26
193,HR,Control Weakness,High,2022-06-20
194,Marketing,Control Weakness,Low,2022-03-03
195,HR,Fraudulent Activity,Low,2022-06-22
196,Finance,Fraudulent Activity,Low,2022-06-02
197,HR,Control Weakness,Low,2022-11-01
198,HR,Non-compliance,Medium,2022-09-28
199,IT,Fraudulent Activity,Medium,2022-11-15
200,IT,Non-compliance,High,2022-10-20
201,Finance,Control Weakness,High,2022-04-12
202,IT,Control Weakness,Medium,2022-09-12
203,Operations,Control Weakness,Low,2022-03-29
204,Finance,Control Weakness,Low,2022-05-18
205,Operations,Non-compliance,High,2022-03-27
206,Operations,Fraudulent Activity,High,2022-12-07
207,IT,Non-compliance,High,2022-07-27
208,IT,Fraudulent Activity,Medium,2022-04-02
209,Marketing,Control Weakness,High,2022-09-28
210,IT,Fraudulent Activity,Medium,2022-09-27
211,Operations,Control Weakness,Low,2022-10-17
212,Operations,Fraudulent Activity,Low,2022-06-28
213,Finance,Control Weakness,High,2022-08-22
214,Marketing,Fraudulent Activity,Medium,2022-04-10
215,HR,Fraudulent Activity,High,2022-10-27
216,Marketing,Fraudulent Activity,Low,2022-12-04
217,Finance,Fraudulent Activity,Low,2022-02-23
218,IT,Fraudulent Activity,Medium,2022-12-28
219,HR,Control Weakness,Medium,2022-10-07
220,IT,Control Weakness,Medium,2022-10-03
221,Finance,Control Weakness,High,2022-08-14
222,Operations,Fraudulent Activity,Low,2022-07-21
223,IT,Control Weakness,Low,2022-06-22
224,Finance,Control Weakness,Medium,2022-11-03
225,IT,Control Weakness,High,2022-03-12
226,Marketing,Fraudulent Activity,Medium,2022-11-26
227,Finance,Fraudulent Activity,Medium,2022-04-11
228,Finance,Fraudulent Activity,High,2022-05-04
229,HR,Fraudulent Activity,Low,2022-12-11
230,IT,Control Weakness,Low,2022-12-28
231,IT,Fraudulent Activity,High,2022-05-14
232,IT,Non-compliance,High,2022-01-02
233,IT,Non-compliance,Medium,2022-07-31
234,Operations,Control Weakness,Low,2022-02-03
235,Marketing,Fraudulent Activity,Medium,2022-10-20
236,IT,Non-compliance,High,2022-02-17
237,IT,Control Weakness,High,2022-03-30
238,Operations,Fraudulent Activity,High,2022-04-10
239,HR,Fraudulent Activity,Low,2022-12-08
240,Finance,Fraudulent Activity,High,2022-06-29
241,Finance,Fraudulent Activity,Medium,2022-02-18
242,Operations,Fraudulent Activity,Low,2022-10-15
243,IT,Non-compliance,Low,2022-05-04
244,HR,Control Weakness,High,2022-02-24
245,HR,Fraudulent Activity,Medium,2022-09-21
246,Finance,Non-compliance,Low,2022-03-21
247,HR,Fraudulent Activity,High,2022-12-26
248,IT,Fraudulent Activity,Low,2022-11-12
249,Operations,Control Weakness,Low,2022-05-18
250,HR,Control Weakness,High,2022-12-02
251,Operations,Non-compliance,High,2022-09-01
252,HR,Fraudulent Activity,High,2022-12-16
253,Finance,Control Weakness,Low,2022-05-16
254,Operations,Non-compliance,Low,2022-04-30
255,Operations,Fraudulent Activity,Medium,2022-09-02
256,HR,Control Weakness,High,2022-11-18
257,Operations,Fraudulent Activity,Medium,2022-10-24
258,IT,Control Weakness,Low,2022-05-12
259,Operations,Control Weakness,Low,2022-10-31
260,HR,Control Weakness,Medium,2022-11-21
261,Finance,Fraudulent Activity,High,2022-11-11
262,Finance,Non-compliance,Low,2022-12-07
263,Operations,Fraudulent Activity,Medium,2022-05-15
264,Finance,Non-compliance,High,2022-06-18
265,HR,Fraudulent Activity,High,2022-12-07
266,Marketing,Fraudulent Activity,Medium,2022-05-21
267,Operations,Fraudulent Activity,Medium,2022-11-16
268,IT,Non-compliance,Medium,2022-09-23
269,Marketing,Non-compliance,Medium,2022-11-13
270,HR,Non-compliance,Low,2022-09-16
271,Finance,Fraudulent Activity,Medium,2022-05-31
272,IT,Fraudulent Activity,High,2022-04-04
273,HR,Non-compliance,Medium,2022-02-26
274,IT,Fraudulent Activity,High,2022-06-22
275,HR,Fraudulent Activity,Low,2022-07-13
276,HR,Non-compliance,Medium,2022-07-25
277,Marketing,Non-compliance,High,2022-03-19
278,Marketing,Control Weakness,Medium,2022-01-19
279,Finance,Control Weakness,High,2022-02-25
280,HR,Fraudulent Activity,High,2022-07-12
281,Finance,Fraudulent Activity,Medium,2022-03-06
282,Marketing,Fraudulent Activity,Low,2022-09-12
283,HR,Fraudulent Activity,High,2022-09-28
284,Finance,Non-compliance,High,2022-06-11
285,Operations,Control Weakness,High,2022-04-11
286,Operations,Fraudulent Activity,Medium,2022-09-22
287,Marketing,Non-compliance,High,2022-07-11
288,HR,Control Weakness,Medium,2022-01-05
289,Operations,Fraudulent Activity,Medium,2022-07-20
290,Marketing,Fraudulent Activity,Medium,2022-03-17
291,Operations,Fraudulent Activity,Medium,2022-02-03
292,Operations,Control Weakness,Medium,2022-06-11
293,Finance,Control Weakness,High,2022-09-29
294,HR,Control Weakness,Low,2022-03-06
295,HR,Non-compliance,High,2022-04-02
296,Operations,Control Weakness,High,2022-11-06
297,Finance,Control Weakness,High,2022-09-24
298,IT,Non-compliance,High,2022-11-23
299,Operations,Control Weakness,High,2022-12-15
300,Marketing,Fraudulent Activity,Medium,2022-10-21
301,HR,Fraudulent Activity,Low,2022-09-24
302,Finance,Control Weakness,Low,2022-04-07
303,Operations,Non-compliance,Medium,2022-10-14
304,Operations,Fraudulent Activity,High,2022-05-31
305,Marketing,Non-compliance,High,2022-12-27
306,IT,Fraudulent Activity,Medium,2022-01-02
307,Finance,Fraudulent Activity,Low,2022-05-08
308,HR,Fraudulent Activity,Medium,2022-11-04
309,HR,Fraudulent Activity,Low,2022-05-01
310,IT,Non-compliance,Medium,2022-01-14
311,Marketing,Non-compliance,High,2022-02-22
312,HR,Fraudulent Activity,High,2022-10-12
313,Operations,Control Weakness,High,2022-11-23
314,HR,Non-compliance,Medium,2022-09-29
315,Finance,Fraudulent Activity,High,2022-02-17
316,Marketing,Non-compliance,Low,2022-11-12
317,Marketing,Control Weakness,Low,2022-12-05
318,IT,Fraudulent Activity,Medium,2022-03-03
319,Finance,Non-compliance,High,2022-06-30
320,HR,Control Weakness,Medium,2022-09-13
321,IT,Fraudulent Activity,Low,2022-10-13
322,Finance,Control Weakness,Medium,2022-05-17
323,HR,Fraudulent Activity,High,2022-11-23
324,Operations,Fraudulent Activity,High,2022-10-21
325,Marketing,Non-compliance,Low,2022-04-25
326,Finance,Control Weakness,Medium,2022-04-21
327,Marketing,Fraudulent Activity,High,2022-04-23
328,IT,Non-compliance,High,2022-03-12
329,HR,Non-compliance,High,2022-03-03
330,Operations,Non-compliance,High,2022-05-29
331,Marketing,Control Weakness,Medium,2022-12-28
332,Marketing,Fraudulent Activity,High,2022-11-02
333,Marketing,Fraudulent Activity,Medium,2022-08-15
334,Finance,Control Weakness,Low,2022-07-12
335,Operations,Fraudulent Activity,Low,2022-03-01
336,Marketing,Non-compliance,Medium,2022-12-11
337,Finance,Fraudulent Activity,High,2022-07-19
338,HR,Fraudulent Activity,Medium,2022-05-22
339,HR,Fraudulent Activity,Medium,2022-03-22
340,Operations,Control Weakness,High,2022-07-22
341,Operations,Control Weakness,Medium,2022-04-09
342,HR,Fraudulent Activity,Low,2022-01-27
343,Marketing,Control Weakness,High,2022-09-20
344,IT,Non-compliance,High,2022-07-08
345,Operations,Fraudulent Activity,Medium,2022-05-15
346,Marketing,Fraudulent Activity,Low,2022-02-23
347,IT,Non-compliance,High,2022-05-01
348,Finance,Control Weakness,Low,2022-02-27
349,Marketing,Control Weakness,High,2022-12-08
350,Operations,Control Weakness,High,2022-05-28
351,Finance,Control Weakness,High,2022-01-14
352,Marketing,Non-compliance,High,2022-08-13
353,Operations,Fraudulent Activity,High,2022-07-08
354,IT,Non-compliance,High,2022-07-02
355,HR,Control Weakness,Low,2022-08-04
356,Operations,Control Weakness,Medium,2022-01-16
357,Marketing,Control Weakness,High,2022-01-01
358,HR,Control Weakness,Medium,2022-10-10
359,Operations,Fraudulent Activity,Medium,2022-06-22
360,Operations,Fraudulent Activity,Medium,2022-10-17
361,Marketing,Control Weakness,High,2022-02-01
362,HR,Control Weakness,Medium,2022-03-09
363,IT,Fraudulent Activity,Medium,2022-10-08
364,Marketing,Non-compliance,High,2022-07-16
365,HR,Control Weakness,Medium,2022-08-18
366,Finance,Control Weakness,Medium,2022-03-16
367,HR,Control Weakness,Medium,2022-09-13
368,Finance,Control Weakness,Medium,2022-07-20
369,Marketing,Control Weakness,Medium,2022-07-11
370,Finance,Control Weakness,Low,2022-11-05
371,IT,Fraudulent Activity,High,2022-05-04
372,Finance,Fraudulent Activity,High,2022-12-11
373,Operations,Control Weakness,Low,2022-07-16
374,HR,Fraudulent Activity,High,2022-03-21
375,Finance,Non-compliance,High,2022-10-05
376,HR,Fraudulent Activity,High,2022-11-09
377,Operations,Non-compliance,High,2022-04-15
378,Finance,Non-compliance,Low,2022-08-13
379,IT,Control Weakness,Low,2022-12-29
380,Operations,Control Weakness,High,2022-07-07
381,Marketing,Fraudulent Activity,Medium,2022-01-24
382,IT,Fraudulent Activity,Low,2022-03-10
383,HR,Fraudulent Activity,Medium,2022-05-22
384,Operations,Control Weakness,High,2022-02-18
385,Finance,Fraudulent Activity,Medium,2022-10-29
386,HR,Fraudulent Activity,Low,2022-04-21
387,HR,Fraudulent Activity,High,2022-02-23
388,Marketing,Control Weakness,Low,2022-08-20
389,Finance,Control Weakness,High,2022-02-17
390,Operations,Control Weakness,Low,2022-10-07
391,Marketing,Non-compliance,Medium,2022-01-27
392,Finance,Fraudulent Activity,Medium,2022-10-29
393,Finance,Fraudulent Activity,High,2022-05-18
394,Operations,Non-compliance,High,2022-02-16
395,Finance,Non-compliance,Low,2022-05-17
396,IT,Non-compliance,Medium,2022-10-15
397,IT,Non-compliance,Low,2022-08-19
398,HR,Non-compliance,High,2022-05-04
399,HR,Control Weakness,High,2022-08-19
400,HR,Fraudulent Activity,High,2022-07-24
401,Operations,Fraudulent Activity,Medium,2022-08-18
402,Operations,Fraudulent Activity,High,2022-12-12
403,Finance,Non-compliance,Medium,2022-05-15
404,Finance,Control Weakness,Low,2022-07-12
405,Operations,Control Weakness,High,2022-05-27
406,Marketing,Fraudulent Activity,Low,2022-10-18
407,HR,Fraudulent Activity,Low,2022-09-19
408,Finance,Control Weakness,High,2022-03-16
409,Finance,Fraudulent Activity,High,2022-11-22
410,Operations,Control Weakness,Medium,2022-10-31
411,Operations,Non-compliance,Low,2022-07-17
412,HR,Non-compliance,Low,2022-12-19
413,Finance,Fraudulent Activity,High,2022-09-20
414,HR,Fraudulent Activity,High,2022-05-13
415,Finance,Non-compliance,Medium,2022-01-04
416,Finance,Control Weakness,Low,2022-11-08
417,Operations,Fraudulent Activity,Medium,2022-02-12
418,Marketing,Fraudulent Activity,Medium,2022-04-20
419,Marketing,Control Weakness,Low,2022-03-30
420,HR,Non-compliance,Medium,2022-02-18
421,Finance,Control Weakness,Low,2022-08-05
422,Finance,Non-compliance,Medium,2022-06-28
423,Operations,Control Weakness,Medium,2022-12-14
424,Marketing,Fraudulent Activity,Medium,2022-01-07
425,Marketing,Non-compliance,Medium,2022-11-09
426,Operations,Non-compliance,High,2022-02-19
427,Marketing,Non-compliance,High,2022-10-27
428,Finance,Control Weakness,Medium,2022-10-18
429,IT,Non-compliance,High,2022-09-20
430,Operations,Fraudulent Activity,Medium,2022-11-17
431,Finance,Fraudulent Activity,Low,2022-08-15
432,Marketing,Fraudulent Activity,Medium,2022-12-15
433,HR,Control Weakness,Low,2022-03-18
434,Operations,Non-compliance,Low,2022-11-12
435,Finance,Fraudulent Activity,Medium,2022-02-20
436,IT,Fraudulent Activity,High,2022-01-17
437,Marketing,Control Weakness,High,2022-10-31
438,Marketing,Non-compliance,Medium,2022-12-01
439,HR,Fraudulent Activity,High,2022-12-04
440,IT,Non-compliance,Low,2022-08-22
441,HR,Control Weakness,Medium,2022-04-26
442,HR,Fraudulent Activity,High,2022-10-31
443,Finance,Non-compliance,Low,2022-08-29
444,IT,Control Weakness,High,2022-06-22
445,Operations,Control Weakness,High,2022-05-26
446,Operations,Control Weakness,Low,2022-07-30
447,Finance,Fraudulent Activity,Medium,2022-10-01
448,Finance,Non-compliance,Medium,2022-08-09
449,Finance,Control Weakness,High,2022-04-08
450,IT,Fraudulent Activity,High,2022-06-11
451,Marketing,Non-compliance,High,2022-08-16
452,Operations,Non-compliance,Low,2022-04-28
453,HR,Fraudulent Activity,High,2022-04-05
454,Finance,Control Weakness,Medium,2022-05-09
455,HR,Fraudulent Activity,Medium,2022-04-15
456,Finance,Control Weakness,Medium,2022-05-12
457,HR,Fraudulent Activity,Low,2022-01-01
458,IT,Fraudulent Activity,Medium,2022-04-28
459,Finance,Non-compliance,Low,2022-12-21
460,Finance,Non-compliance,High,2022-05-16
461,Operations,Fraudulent Activity,High,2022-03-12
462,IT,Control Weakness,Low,2022-10-04
463,Marketing,Control Weakness,High,2022-08-02
464,HR,Fraudulent Activity,Medium,2022-12-18
465,IT,Fraudulent Activity,High,2022-03-08
466,Marketing,Non-compliance,Medium,2022-02-17
467,HR,Fraudulent Activity,Low,2022-02-22
468,Finance,Control Weakness,High,2022-02-03
469,Marketing,Fraudulent Activity,Low,2022-01-14
470,Marketing,Non-compliance,High,2022-03-27
471,HR,Control Weakness,Low,2022-07-11
472,IT,Fraudulent Activity,Medium,2022-08-05
473,Finance,Control Weakness,Medium,2022-11-02
474,Operations,Fraudulent Activity,High,2022-03-03
475,IT,Control Weakness,Low,2022-07-18
476,HR,Fraudulent Activity,Low,2022-07-20
477,Marketing,Non-compliance,Medium,2022-05-09
478,Operations,Non-compliance,Low,2022-12-03
479,HR,Fraudulent Activity,Medium,2022-10-20
480,Operations,Control Weakness,Low,2022-04-25
481,HR,Control Weakness,Low,2022-11-08
482,HR,Non-compliance,Medium,2022-05-27
483,Marketing,Non-compliance,High,2022-05-23
484,HR,Non-compliance,Low,2022-11-18
485,Finance,Non-compliance,Low,2022-11-17
486,Finance,Control Weakness,Medium,2022-06-07
487,Operations,Non-compliance,High,2022-03-06
488,Finance,Fraudulent Activity,High,2022-05-24
489,Marketing,Non-compliance,Low,2022-03-17
490,HR,Non-compliance,Low,2022-12-23
491,Finance,Control Weakness,Low,2022-07-25
492,Marketing,Non-compliance,Medium,2022-12-20
493,Marketing,Fraudulent Activity,Medium,2022-07-28
494,Marketing,Non-compliance,Low,2022-05-13
495,Finance,Non-compliance,Medium,2022-03-28
496,IT,Non-compliance,Medium,2022-07-22
497,IT,Control Weakness,Medium,2022-08-12
498,HR,Non-compliance,Low,2022-02-01
499,Marketing,Control Weakness,Medium,2022-01-18
500,Marketing,Fraudulent Activity,Medium,2022-06-26
501,Marketing,Fraudulent Activity,High,2022-05-05
502,Operations,Fraudulent Activity,Low,2022-08-07
503,Marketing,Fraudulent Activity,High,2022-12-04
504,HR,Control Weakness,Medium,2022-10-28
505,Finance,Control Weakness,Medium,2022-12-06
506,IT,Control Weakness,Medium,2022-11-16
507,Finance,Control Weakness,High,2022-10-15
508,Marketing,Non-compliance,High,2022-05-23
509,Marketing,Control Weakness,High,2022-04-25
510,HR,Fraudulent Activity,Medium,2022-01-15
511,Marketing,Non-compliance,Medium,2022-09-25
512,Operations,Fraudulent Activity,Medium,2022-02-11
513,IT,Control Weakness,Medium,2022-12-28
514,IT,Non-compliance,High,2022-02-07
515,Operations,Non-compliance,High,2022-04-12
516,HR,Fraudulent Activity,High,2022-01-29
517,Finance,Non-compliance,Medium,2022-06-30
518,Finance,Fraudulent Activity,Medium,2022-12-12
519,Operations,Non-compliance,Medium,2022-01-11
520,Operations,Non-compliance,Medium,2022-03-23
521,Marketing,Control Weakness,Low,2022-06-26
522,Operations,Non-compliance,Low,2022-11-04
523,Finance,Control Weakness,High,2022-07-06
524,Operations,Fraudulent Activity,Medium,2022-07-24
525,Operations,Non-compliance,Medium,2022-04-22
526,Finance,Control Weakness,Medium,2022-08-05
527,IT,Fraudulent Activity,Low,2022-01-06
528,IT,Non-compliance,Low,2022-07-08
529,Operations,Non-compliance,High,2022-03-13
530,Marketing,Fraudulent Activity,High,2022-01-07
531,HR,Fraudulent Activity,High,2022-03-27
532,HR,Control Weakness,Medium,2022-02-09
533,Finance,Non-compliance,Low,2022-05-20
534,Finance,Non-compliance,Medium,2022-03-02
535,Operations,Control Weakness,High,2022-05-08
536,IT,Fraudulent Activity,Low,2022-04-08
537,Finance,Non-compliance,Low,2022-06-08
538,Operations,Fraudulent Activity,Low,2022-11-22
539,IT,Non-compliance,Medium,2022-10-31
540,IT,Control Weakness,Medium,2022-09-04
541,HR,Control Weakness,Medium,2022-02-24
542,Finance,Fraudulent Activity,Low,2022-12-31
543,Operations,Non-compliance,Medium,2022-07-18
544,Finance,Control Weakness,Low,2022-12-16
545,HR,Fraudulent Activity,Medium,2022-10-27
546,Operations,Fraudulent Activity,High,2022-07-03
547,Finance,Control Weakness,Medium,2022-05-20
548,Operations,Control Weakness,Low,2022-09-23
549,IT,Control Weakness,Low,2022-02-01
550,Marketing,Control Weakness,High,2022-07-21
551,IT,Non-compliance,High,2022-10-22
552,IT,Non-compliance,Medium,2022-12-01
553,IT,Non-compliance,Medium,2022-10-02
554,Finance,Control Weakness,High,2022-01-13
555,IT,Fraudulent Activity,Low,2022-10-03
556,Operations,Control Weakness,Low,2022-08-12
557,IT,Non-compliance,Low,2022-05-08
558,Finance,Fraudulent Activity,Low,2022-11-05
559,HR,Fraudulent Activity,Low,2022-02-24
560,Marketing,Control Weakness,High,2022-07-30
561,Operations,Non-compliance,Low,2022-05-07
562,IT,Control Weakness,Medium,2022-01-22
563,IT,Fraudulent Activity,Low,2022-11-09
564,Finance,Control Weakness,Low,2022-12-19
565,HR,Control Weakness,Low,2022-07-02
566,Finance,Non-compliance,Medium,2022-08-17
567,IT,Non-compliance,Low,2022-10-11
568,IT,Fraudulent Activity,Low,2022-04-11
569,Finance,Control Weakness,Low,2022-07-19
570,Marketing,Control Weakness,Low,2022-01-23
571,Finance,Control Weakness,Medium,2022-08-03
572,HR,Fraudulent Activity,Medium,2022-03-21
573,HR,Non-compliance,High,2022-07-25
574,IT,Non-compliance,Low,2022-10-08
575,IT,Control Weakness,Low,2022-03-06
576,Finance,Non-compliance,High,2022-10-11
577,HR,Control Weakness,High,2022-11-13
578,HR,Non-compliance,Medium,2022-01-02
579,IT,Fraudulent Activity,Low,2022-10-15
580,Operations,Control Weakness,Medium,2022-05-14
581,Marketing,Control Weakness,High,2022-09-08
582,IT,Non-compliance,High,2022-01-03
583,Operations,Control Weakness,High,2022-01-05
584,IT,Non-compliance,Low,2022-04-05
